RH_pct,Wind_Spd_mph,Wind_Direction_deg,Low_Cloud_Ht_ft,Med_Cloud_Ht_ft,High_Cloud_Ht_ft,Visibility_mi,Atm_Press_hPa,Sea_Lev_Press_hPa,Altimeter_hPa,LES_Snowfall,idx
49,17,260,4000,0,0,10,993,1016.7,1015.9,0,248
47,14,250,4000,0,0,10,993,1016.6,1015.9,0,249
51,9,250,4200,0,0,10,993,1016.7,1015.9,0,250
49,8,250,4900,0,0,10,993.3,1017.1,1016.3,0,251
49,5,250,5000,0,0,10,993.7,1017.4,1016.6,0,252
49,6,250,6000,0,0,10,993.7,1017.3,1016.6,0,253
45,13,260,5000,0,0,10,993.7,1017.2,1016.6,0,254
43,15,260,6500,0,0,10,993.7,1017.1,1016.6,0,255
58,14,270,4000,5000,7000,6,996.3,1020.2,1019.3,0,256
51,10,270,5000,7000,0,8,996.7,1020.5,1019.6,0,257
53,11,250,4500,7000,0,10,997.3,1021.1,1020.3,0,258
51,15,270,4700,5500,7500,10,998.3,1022.1,1021.3,0,259
69,14,280,2200,4500,7000,5,998.7,1022.5,1021.7,0,260
86,13,270,2000,4300,7000,2,999.6,0,1022.7,0,261
72,10,300,2400,4400,6000,3,999.6,1023.4,1022.7,0,262
60,14,280,4000,5000,6000,9,999.6,1023.6,1022.7,0,263
43,10,270,5000,0,0,10,1003,1026.7,1026.1,0,264
41,13,240,5000,0,0,10,1003.3,1027,1026.4,0,265
49,9,260,5000,0,0,10,1003.3,1027.3,1026.4,0,266
47,8,240,5000,0,0,10,1004,1027.7,1027.1,0,267
53,3,210,4600,0,0,10,1004,1028,1027.1,0,268
55,5,200,4800,0,0,10,1004.3,1028.3,1027.4,0,269
60,6,0,5500,0,0,10,1004.6,1028.4,1027.8,0,270
60,5,0,6000,0,0,10,1004.6,1028.4,1027.8,0,271
57,8,130,6000,0,0,9,1001.6,1025.4,1024.7,0,272
57,7,120,9000,0,0,10,1001.3,1025.2,1024.4,0,273
57,5,0,6500,9000,0,10,1001,1024.9,1024,0,274
57,0,0,8500,0,0,10,1001,1024.9,1024,0,275
57,6,130,8000,0,0,10,1001,1024.8,1024,0,276
61,5,0,5000,7500,0,10,1001.3,1024.9,1024.4,0,277
65,6,200,7000,8500,0,10,1001.3,1025.1,1024.4,0,278
70,8,190,7000,0,0,10,1001.3,1025,1024.4,0,279
46,3,0,5500,12000,0,10,999,1022.2,1022,0,280
44,6,230,5500,12000,0,10,998.7,1022,1021.7,0,281
46,0,0,11000,0,0,10,998.7,1022.1,1021.7,0,282
60,3,170,11000,0,0,10,998.7,1022.3,1021.7,0,283
65,3,180,0,0,0,10,999,1022.5,1022,0,284
76,5,160,0,0,0,10,999.3,1022.9,1022.4,0,285
79,0,0,0,0,0,10,999,1022.7,1022,0,286
78,0,0,0,0,0,10,999.3,1022.8,1022.4,0,287
59,10,210,3100,4500,8000,10,995.3,1018.5,1018.3,0,288
64,9,200,3100,4700,0,10,995.3,1018.5,1018.3,0,289
60,10,190,3700,6000,0,10,995,1018.4,1017.9,0,290
66,10,180,2900,0,0,10,994.7,1018,1017.6,0,291
71,9,190,3700,4300,0,10,994.3,1017.7,1017.3,0,292
71,7,0,4100,0,0,10,993.7,1017,1016.6,0,293
68,0,0,4700,0,0,10,993.3,1016.5,1016.3,0,294
68,0,0,4900,0,0,10,993.3,1016.4,1016.3,0,295
66,5,150,2600,5000,0,10,986.4,1009.5,1009.1,0,296
71,3,0,2200,0,0,7,986.4,1009.4,1009.1,0,297
74,3,230,2400,0,0,7,986.7,1009.6,1009.5,0,298
82,0,0,4100,5000,0,7,986.4,1009.3,1009.1,0,299
85,0,0,3600,4200,5000,6,986,1009,1008.8,0,300
85,3,160,3800,5000,0,6,985.7,1008.6,1008.5,0,301
85,0,0,2400,3000,3700,5,985.7,1008.8,1008.5,0,302
92,0,0,2600,0,0,5,985.4,1008.2,1008.1,0,303
64,8,200,2500,9000,0,6,976,998.6,998.6,0,304
61,10,180,9000,0,0,7,975.4,998,998,0,305
57,7,0,11000,0,0,10,975.4,997.9,998,0,306
61,8,190,8000,10000,0,10,975.7,998.3,998.3,0,307
63,6,190,8000,0,0,10,977,999.6,999.7,0,308
66,8,160,9500,0,0,8,976,998.6,998.6,0,309
68,8,190,10000,0,0,7,975,997.7,997.6,0,310
69,10,200,7500,11000,0,7,974.7,997.2,997.3,0,311
63,14,310,3000,0,0,10,983.7,1006.6,1006.4,0,312
63,11,310,3000,0,0,10,985,1007.9,1007.8,0,313
62,11,340,3000,0,0,10,985.7,1008.7,1008.5,0,314
65,11,340,3000,0,0,10,987,1010.1,1009.8,0,315
67,10,360,3000,0,0,10,988,1011.1,1010.8,0,316
62,10,350,3500,0,0,10,989.3,1012.4,1012.2,0,317
64,8,340,0,0,0,10,989.7,1013,1012.5,0,318
64,9,340,2500,0,0,10,990.3,1013.5,1013.2,0,319
